"Accession"	"Gene"	"Description"	"Class"	"Reference"
"VFG038726(gb|YP_855929)"	"cheW"	"chemotaxis_protein_CheW_"	"Polar_flagella_(CVF786)_"	"Aeromonas_hydrophila_subsp._hydrophila_ATCC_7966"
"VFG033454(gi:260845683)"	"espB"	"translocon_EspB_"	"LEE_locus_encoded_TTSS_(CVF431)_"	"Escherichia_coli_O103:H2_str._12009"
"VFG044154(gi:70732682)"	"hasA"	"heme_acquisition_protein_"	"HasA-type_hemophore-mediated_heme_uptake_system_(IA042)_"	"Pseudomonas_fluorescens_Pf-5"
"VFG038191(gb|YP_001844795)"	"abaI"	"N-acyl-L-homoserine_lactone_synthetase_"	"Quorom_sensing_(VF0471)_"	"Acinetobacter_baumannii_ACICU"
"VFG013866(gi:70733951)"	"pilO"	"type_IV_pilus_biogenesis_protein_PilO_"	"Type_IV_pili_biosynthesis_(CVF518)_"	"Pseudomonas_fluorescens_Pf-5"
"VFG037044(gi:313667531)"	"katA"	"catalase_"	"Catalase_(CVF760)_"	"Neisseria_lactamica_020-06"
"VFG044232(gi:104781610)"	"pmsF"	"L-lysine_6-monooxygenase_(NADPH"	"ND"	"ND"
"VFG034895(gb|NP_285753)"	"espY1"	"Type_III_secretion_system_effector_EspY1_"	"LEE_encoded_T3SS_(SS020)_"	"Escherichia_coli_O157:H7_str._EDL933"
"VFG001814(gi:15608302)"	"narH"	"PROBABLE_RESPIRATORY_NITRATE_REDUCTASE_(BETA_CHAIN"	"ND"	"ND"
"VFG005733(gi:15674555)"	"spyA"	"hypothetical_protein_"	"SpyA_(TX012)_"	"Streptococcus_pyogenes_M1_GAS"
"VFG012711(gi:154152387)"	"spa9"	"Spa9_"	"Mxi-Spa_TTSA_(type_III_secretion_apparatus)(CVF462)_"	"Shigella_dysenteriae_Sd197"
"VFG033116(gi:386641962)"	"papJ"	"PapJ_protein_"	"P_fimbriae_(CVF425)_"	"Escherichia_coli_ABU_83972"
"VFG035560(gi:110640437)"	"aec27/clpV"	"Clp_ATPase_"	"ACE_T6SS_(CVF736)_"	"Escherichia_coli_536"
"VFG015950(gb|NP_251075)"	"pvdQ"	"3-oxo-C12-homoserine_lactone_acylase_PvdQ_"	"pyoverdine_(IA001)_"	"Pseudomonas_aeruginosa_PAO1"
"VFG016408(gi:49481246)"	"lytR"	"membrane-bound_transcriptional_regulator_LytR_"	"Polysaccharide_capsule_(CVF567)_"	"Bacillus_thuringiensis_serovar_konkukian_str._97-27"
"VFG009662(gi:118465627)"	"katG"	"catalase/peroxidase_HPI_"	"Catalase-peroxidase_(CVF321)_"	"Mycobacterium_avium_104"
"VFG002652(gi:16122093)"	"fliC"	"flagellin_"	"Flagella_(cluster_I)(CVF039)_"	"Yersinia_pestis_CO92"
"VFG037573(gb|YP_001847077)"	"csuA"	"Csu_pilus_subunit_CsuA_"	"Csu_fimbriae_(VF0461)_"	"Acinetobacter_baumannii_ACICU"
"VFG041012(gi:15596708)"	"vgrG2"	"hypothetical_protein_"	"HSI-2_(SS179)_"	"Pseudomonas_aeruginosa_PAO1"
"VFG015740(gi:167035554)"	"alg44"	"type_IV_pilus_assembly_PilZ_"	"Alginate_biosynthesis_(CVF522)_"	"Pseudomonas_putida_GB-1"
"VFG000358(gb|NP_405467)"	"fyuA"	"pesticin/yersiniabactin_receptor_protein_"	"Yersiniabactin_(VF0136)_"	"Yersinia_pestis_CO92"
"VFG043142(gi:28901387)"	"fliJ"	"hypothetical_protein_"	"lateral_flagella_(AI142)_"	"Vibrio_parahaemolyticus_RIMD_2210633"
"VFG011538(gi:82699030)"	"cgs"	"cyclic_beta_1-2_glucan_synthetase_"	"CbetaG_(CVF384)_"	"Brucella_melitensis_biovar_Abortus_2308"
"VFG044332(gb|YP_002920252)"	"ybtE"	"yersiniabactin_biosynthesis_salycil-AMP_ligase_YbtE_"	"Ybt_(VF0564)_"	"Klebsiella_pneumoniae_subsp._pneumoniae_NTUH-K2044"
"VFG011198(gi:33594855)"	"wbmI"	"putative_asparagine_synthetase_"	"LPS_(CVF380)_"	"Bordetella_parapertussis_12822"
"VFG038891(gb|YP_854967)"	"aerA/act"	"Aerolysin_A_"	"aerolysin_(TX450)_"	"Aeromonas_hydrophila_subsp._hydrophila_ATCC_7966"
"VFG015414(gi:70733365)"	"PFL_6082"	"hypothetical_protein_"	"Hcp_secretion_island-1_encoded_type_VI_secretion_system_(H-T6SS)(CVF535)_"	"Pseudomonas_fluorescens_Pf-5"
"VFG015599(gi:15595203)"	"hdtS"	"lysophosphatidic_acid_acyltransferase,_LptA_"	"Acylhomoserine_lactone_synthase_(CVF528)_"	"Pseudomonas_aeruginosa_PAO1"
"VFG012332(gi:110640500)"	"sfaD"	"putative_minor_F1C_fimbrial_subunit_precursor_"	"S_fimbriae_(CVF427)_"	"Escherichia_coli_536"
"VFG004787(gi:87160776)"	"sak"	"staphylokinase_precursor_"	"Staphylokinase_(CVF089)_"	"Staphylococcus_aureus_subsp._aureus_USA300_FPR3757"
"VFG023274(gi:333988691)"	"JDM601_0051"	"hypothetical_protein_"	"ESX-2_(T7SS)(CVF634)_"	"Mycobacterium_sp._JDM601"
"VFG007610(gb|NP_230654)"	"motY"	"sodium-type_flagellar_protein_MotY_"	"Flagella_(VF0519)_"	"Vibrio_cholerae_O1_biovar_El_Tor_str._N16961"
"VFG005379(gi:24379545)"	"srtA"	"putative_sortase_"	"Sortase_A_(CVF130)_"	"Streptococcus_mutans_UA159"
"VFG000932(gb|NP_752612)"	"entE"	"2,3-dihydroxybenzoate-AMP_ligase_component_of_enterobactin_synthase_multienzyme_complex_"	"Enterobactin_(VF0228)_"	"Escherichia_coli_CFT073"
"VFG015935(gi:66043853)"	"Psyr_0586"	"YD_repeat_"	"TccC-type_insecticidal_toxins_(CVF550)_"	"Pseudomonas_syringae_pv._syringae_B728a"
"VFG023114(gi:183983842)"	"mce5D"	"MCE-family_protein_Mce5D_"	"Mce5_(CVF340)_"	"Mycobacterium_marinum_M"
"VFG016118(gi:116052262)"	"pchF"	"pyochelin_synthetase_PchF_"	"Pyochelin_(CVF553)_"	"Pseudomonas_aeruginosa_UCBPP-PA14"
"VFG038843(gi:145297256)"	"flmH"	"flagellar_modification_protein_FlmH_"	"Polar_flagella_(CVF786)_"	"Aeromonas_salmonicida_subsp._salmonicida_A449"
"VFG045637(gi:397699478)"	"EFD32_0899"	"Endocarditis_and_Biofilm-Associated_Pilus_subunitA_"	"Ebp_pili_(CVF821)_"	"Enterococcus_faecalis_D32"
"VFG035110(gi:218696638)"	"EC55989_3339"	"hypothetical_protein_"	"SCI-I_T6SS_(CVF734)_"	"Escherichia_coli_55989"
"VFG006916(gi:28899300)"	"pilD"	"type_IV_prepilin-like_proteins_leader_peptide_processing_enzyme_"	"Type_IV_pilus_(CVF258)_"	"Vibrio_parahaemolyticus_RIMD_2210633(CVF259)_"
"VFG014428(gi:148546738)"	"fliG"	"flagellar_motor_switch_protein_FliG_"	"Flagella_(CVF521)_"	"Pseudomonas_putida_F1"
"VFG048277(gb|YP_002921140.1)"	"fimD"	"outer_membrane_usher_protein__"	"Type_I_fimbriae_(VF0566)_"	"Klebsiella_pneumoniae_subsp._pneumoniae_NTUH-K2044"
"VFG041852(gi:34498079)"	"cpaP"	"surface_presentation_of_antigens_protein_SpaP_"	"Cpi-1a_+_Cpi-1_(SPI-1_like)(SS016)_"	"Chromobacterium_violaceum_ATCC_12472"
"VFG002169(gi:29375151)"	"cylM"	"cylM_protein_"	"Cytolysin_(CVF617)_"	"Enterococcus_faecalis_V583"
"VFG014229(gi:28869145)"	"flgH"	"flagellar_L-ring_protein_precursor_"	"Flagella_(CVF521)_"	"Pseudomonas_syringae_pv._tomato_str._DC3000"
"VFG022714(gi:333990182)"	"mbtE"	"non-ribosomal_peptide_synthetase_MbtE_"	"Mycobactin_(CVF315)_"	"Mycobacterium_sp._JDM601"
"VFG014124(gi:152987655)"	"PSPA7_1975"	"hypothetical_protein_"	"LPS_O-antigen_(P._aeruginosa)(CVF520)_"	"Pseudomonas_aeruginosa_PA7"
"VFG015375(gi:66045863)"	"Psyr_2627"	"Protein_of_unknown_function_DUF214_"	"Hcp_secretion_island-1_encoded_type_VI_secretion_system_(H-T6SS)(CVF535)_"	"Pseudomonas_syringae_pv._syringae_B728a"
"VFG002566(gb|YP_109402)"	"wcbC"	"capsular_polysaccharide_biosynthesis/export_protein_"	"Capsule_I_(VF0436)_"	"Burkholderia_pseudomallei_K96243"
"VFG016110(gi:152988666)"	"pchH"	"probable_ATP-binding_component_of_ABC_transporter_"	"Pyochelin_(CVF553)_"	"Pseudomonas_aeruginosa_PA7"
"VFG005173(gi:71904377)"	"sfbX"	"fibronectin-binding_protein_"	"Fibronectin-binding_protein_(AI208)_"	"Streptococcus_pyogenes_MGAS6180"
"VFG001935(gb|NP_282066)"	"ciaB"	"invasion_antigen_CiaB_"	"CiaB_(VF0324)_"	"Campylobacter_jejuni_subsp._jejuni_NCTC_11168"
"VFG042583(gi:149930751)"	"sfpA"	"w0006_"	"Sfp_fimbriae_(AI046)_"	"Escherichia_coli_O157:H-_str._3072/96"
"VFG011306(gi:33596144)"	"flgJ"	"peptidoglycan_hydrolase_"	"Flagella_(CVF382)_"	"Bordetella_parapertussis_12822"
"VFG003504(gi:123442839)"	"irp2"	"yersiniabactin_biosynthetic_protein_"	"Yersiniabactin_(CVF051)_"	"Yersinia_enterocolitica_subsp._enterocolitica_8081"
"VFG007427(gi:27365288)"	"fliN"	"flagellar_motor_switch_protein_"	"Flagella_(CVF281)_"	"Vibrio_vulnificus_CMCP6"
"VFG018630(gi:161508421)"	"cap5F"	"capsular_polysaccharide_biosynthesis_protein_Cap5F_"	"Capsule_(CVF110)_"	"Staphylococcus_aureus_subsp._aureus_USA300_TCH1516"
"VFG002282(gb|NP_561762)"	"cloSI"	"alpha-clostripain_"	"alpha-clostripain_(VF0390)_"	"Clostridium_perfringens_str._13"
"VFG035542(gi:260842449)"	"aec28"	"hypothetical_protein_"	"ACE_T6SS_(CVF736)_"	"Escherichia_coli_O103:H2_str._12009"
"VFG013749(gi:68536866)"	"fagD"	"putative_iron_ABC_transport_system,_solute_binding_protein_"	"ABC_transporter_(CVF516)_"	"Corynebacterium_jeikeium_K411"
"VFG013616(gi:148826227)"	"hemH"	"ferrochelatase_"	"Heme_biosynthesis_(CVF506)_"	"Haemophilus_influenzae_PittEE"
"VFG022151(gi:41409885)"	"mycP3"	"hypothetical_protein_"	"ESX-3_(T7SS)(CVF635)_"	"Mycobacterium_avium_subsp._paratuberculosis_K-10"
"VFG049046"	"KPK_1677"	"ABC_transporter_permease_"	"LPS_rfb_locus_(CVF857)_"	"Klebsiella_pneumoniae_342"
"VFG037928(gi:126640167)"	"A1S_0054"	"WbbJ_protein_"	"Capsule_(CVF775)_"	"Acinetobacter_baumannii_ATCC_17978"
"VFG006052(gi:55823163)"	"rmlA"	"glucose-1-phosphate_thymidyl_transferase_"	"Capsule_(CVF186)_"	"Streptococcus_thermophilus_CNRZ1066"
"VFG014330(gb|NP_249786)"	"fliS"	"flagellar_protein_FliS_"	"Deoxyhexose_linking_sugar,_209_Da_capping_structure_(AI138)_"	"Pseudomonas_aeruginosa_PAO1"
"VFG045682(gi:383329041)"	"EFAU004_01723"	"phosphatidate_cytidylyltransferase_"	"Capsule_(CVF618)_"	"Enterococcus_faecium_Aus0004"
"VFG044244(gi:145300217)"	"ASA_3330"	"isochorismatase_family_protein_"	"direct_heme_uptake_system_(IA062)_"	"Aeromonas_salmonicida_subsp._salmonicida_A449"
"VFG015933(gi:28868442)"	"PSPTO_1231"	"insecticidal_toxin_protein,_putative_"	"TccC-type_insecticidal_toxins_(CVF550)_"	"Pseudomonas_syringae_pv._tomato_str._DC3000"
"VFG032467(gi:289435743)"	"lgt"	"prolipoprotein_diacylglyceryl_transferase_"	"Lipoprotein_diacylglyceryl_transferase_(CVF248)_"	"Listeria_seeligeri_serovar_1/2b_str._SLCC3954"
"VFG029775(gi:120401291)"	"fadE5"	"acyl-CoA_dehydrogenase_domain-containing_protein_"	"GPL_locus_(CVF650)_"	"Mycobacterium_vanbaalenii_PYR-1"
"VFG037903(gi:469820234)"	"ugd"	"UDP-glucose_6-dehydrogenase_"	"Capsule_(CVF775)_"	"Acinetobacter_baumannii_D1279779"
"VFG044376(gi:28192386)"	"qbsA"	"QbsA_"	"thioquinolobactin_(IA009)_"	"Pseudomonas_fluorescens_ATCC_17400"
"VFG048960"	"KPN2242_15630"	"GalU_regulator_GalF_"	"Capsule_(CVF854)_"	"Klebsiella_pneumoniae_KCTC_2242"
"VFG041585(gi:269138234)"	"esaV"	"type_III_secretion_protein,_HrcV_family_"	"T3SS_(SS025)_"	"Edwardsiella_tarda_EIB202"
"VFG033846(gi:218706548)"	"agn43"	"antigen_43_(Ag43"	"ND"	"ND"
"VFG000854(gb|AAD27809)"	"aafB"	"invasin_homolog_AafB_"	"AAFs_(VF0214)_"	"Escherichia_coli_str._042"
"VFG014638(gi:70729057)"	"fliA"	"flagellar_biosynthesis_sigma_factor_FliA_"	"Flagella_(CVF521)_"	"Pseudomonas_fluorescens_Pf-5"
"VFG010601(gi:148360927)"	"icmB/dotO"	"IcmB_(DotO"	"ND"	"ND"
"VFG038422(gi:145300597)"	"fimE"	"type_I_pilus_assembly_protein_FimE_"	"Type_I_fimbriae_(CVF796)_"	"Aeromonas_salmonicida_subsp._salmonicida_A449"
"VFG012612(gi:110643748)"	"chuW"	"putative_oxygen_independent_coproporphyrinogen_III_oxidase_"	"Heme_uptake_(CVF460)_"	"Escherichia_coli_536"
"VFG044399(gi:6959523)"	"pdtorfP"	"putative_methyltransferase_"	"Pyridine-2,6-dithiocarboxylic_acid_(PDTC)(IA030)_"	"Pseudomonas_stutzeri_KC"
"VFG002372(gb|YP_001007264)"	"wzx"	"O-unit_flippase_"	"O-antigen_(VF0392)_"	"Yersinia_enterocolitica_subsp._enterocolitica_8081"
"VFG033509(gi:260869681)"	"cesF"	"chaperone_CesF_"	"LEE_locus_encoded_TTSS_(CVF431)_"	"Escherichia_coli_O111:H-_str._11128"
"VFG013034(gi:24111935)"	"fepG"	"ferric_enterobactin_transport_protein_"	"Enterobactin_transport_(CVF478)_"	"Shigella_flexneri_2a_str._301"
"VFG035936(gi:387604896)"	"pet"	"serine_protease_(plasmid-encoded_toxin_Pet"	"ND"	"ND"
"VFG038561(gi:507519914)"	"mshQ"	"MshQ_protein_"	"MSHA_type_IV_pili_(VF0477)_"	"Aeromonas_hydrophila_ML09-119"
"VFG045566(gb|YP_096368)"	"lpg2359"	"Dot/Icm_type_IV_secretion_system_effector_"	"Dot/Icm_(VF0156)_"	"Legionella_pneumophila_subsp._pneumophila_str._Philadelphia_1"
"VFG013100(gi:16272253)"	"pilB"	"protein_transport_protein_"	"Type_IV_pili_(CVF486)_"	"Haemophilus_influenzae_Rd_KW20"
"VFG034840(gb|NP_289177)"	"espW"	"Type_III_secretion_system_effector_EspW_"	"LEE_encoded_T3SS_(SS020)_"	"Escherichia_coli_O157:H7_str._EDL933"
"VFG023954(gi:315445135)"	"leuD"	"3-isopropylmalate_dehydratase_small_subunit_"	"Leucine_synthesis_(CVF309)_"	"Mycobacterium_gilvum_Spyr1"
"VFG020063(gi:218891628)"	"pvdF"	"pyoverdine_synthetase_F_"	"Pyoverdine_(CVF551)_"	"Pseudomonas_aeruginosa_LESB58"
"VFG033876(gi:386641995)"	"hlyD"	"hemolysin_secretion_protein_D_"	"Alpha-hemolysin_(CVF453)_"	"Escherichia_coli_ABU_83972"
"VFG030170(gi:333990317)"	"caeA"	"exported_protease_"	"Carboxylesterase_(CVF648)_"	"Mycobacterium_sp._JDM601"
"VFG015711(gi:170722841)"	"flhB"	"flagellar_biosynthetic_protein_FlhB_"	"Flagella_(CVF521)_"	"Pseudomonas_putida_W619"
"VFG000506(gb|NP_460370)"	"sseG"	"type_III_secretion_system_effector_SseG_"	"TTSS(SPI-2_encode)(VF0321)_"	"Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2"
"VFG042839(gi:18311265)"	"pilM"	"type_IV_pilus_assembly_protein_PilM_"	"type_IV_pili_(AI109)_"	"Clostridium_perfringens_str._13"
"VFG001011(gb|NP_858285)"	"spa33"	"type_III_secretion_system_C_ring_protein_Spa33_"	"TTSS_(VF0118)_"	"Shigella_flexneri_2a_str._301"
"VFG037709(gi:523531827)"	"adeF"	"Membrane-fusion_protein_"	"AdeFGH_efflux_pump/transport_autoinducer_(CVF773)_"	"Acinetobacter_baumannii_BJAB0715"
"VFG021836(gi:126434291)"	"fadE14"	"acyl-CoA_dehydrogenase_domain-containing_protein_"	"Mycobactin_(CVF315)_"	"Mycobacterium_sp._JLS"
"VFG030841(gi:183982825)"	"icl2"	"isocitrate_lyase_AceAb_"	"Trehalose-recycling_ABC_transporter_(CVF651)_"	"Mycobacterium_marinum_M"
"VFG013669(gi:25029294)"	"srtA"	"putative_fimbria-associated_protein_"	"SpaA-type_pili_(CVF507)_"	"Corynebacterium_efficiens_YS-314"
"VFG040912(gi:50122029)"	"outG"	"general_secretion_pathway_protein_G_"	"out_(SS212)_"	"Pectobacterium_atrosepticum_SCRI1043"
"VFG038059(gi:384130056)"	"ABK1_0096"	"glycosyltransferase_"	"Capsule_(CVF775)_"	"Acinetobacter_baumannii_1656-2"
"VFG044407(gi:34787216)"	"hasB"	"TonB-like_protein_"	"HasA-type_hemophore-mediated_heme_uptake_system_(IA043)_"	"Serratia_marcescens_str._SM365"
"VFG009550(gi:126436060)"	"mbtA"	"AMP-dependent_synthetase_and_ligase_"	"Mycobactin_(CVF315)_"	"Mycobacterium_sp._JLS"
"VFG017842(gi:153930674)"	"pilQ"	"type_IV_pilus_biosynthesis_protein_PilQ_"	"Type_IV_pili_(CVF049)_"	"Yersinia_pseudotuberculosis_IP_31758"
"VFG029504(gi:333988967)"	"rmlA"	"alpha-D-glucose-1-phosphate_thymidylyltransferase_"	"GPL_locus_(CVF650)_"	"Mycobacterium_sp._JDM601"
"VFG009522(gi:126436057)"	"mbtC"	"beta-ketoacyl_synthase_"	"Mycobactin_(CVF315)_"	"Mycobacterium_sp._JLS"
"VFG030530(gi:333989846)"	"lpqY"	"sugar-binding_lipoprotein_LpqY_"	"Trehalose-recycling_ABC_transporter_(CVF651)_"	"Mycobacterium_sp._JDM601"
"VFG023391(gi:169629310)"	"eccE3"	"hypothetical_protein_"	"ESX-3_(T7SS)(CVF635)_"	"Mycobacterium_abscessus_ATCC_19977"
"VFG000829(gi:15804246)"	"orf4"	"hypothetical_protein_"	"LEE_encoded_T3SS_(SS020)_"	"Escherichia_coli_O157:H7_str._EDL933"
"VFG049263"	"KOX_25955"	"type_VI_secretion_system_protein_ImpG_"	"T6SS-III_(CVF862)_"	"Klebsiella_oxytoca_KCTC_1686"
"VFG044209(gi:47530065)"	"fpuA"	"iron_compound_ABC_transporter_iron_compound-binding_protein_"	"petrobactin_(IA028)_"	"Bacillus_anthracis_str._Ames_Ancestor"
"VFG001936(gb|NP_282283)"	"Cj1135"	"glucosyltransferase_"	"LOS_(VF0326)_"	"Campylobacter_jejuni_subsp._jejuni_NCTC_11168"
"VFG001890(gb|NP_281264)"	"flgD"	"flagellar_basal-body_rod_modification_protein_FlgD_"	"Flagella_(VF0114)_"	"Campylobacter_jejuni_subsp._jejuni_NCTC_11168"
"VFG023798(gi:332160802)"	"YE105_C1180"	"Polyprenol_phosphate:N-acetyl-hexosamine_1-phosphate_transferase_"	"O-antigen_(CVF043)_"	"Yersinia_enterocolitica_subsp._palearctica_105.5R(r)"
"VFG014256(gi:66046701)"	"flgJ"	"peptidoglycan_hydrolase_"	"Flagella_(CVF521)_"	"Pseudomonas_syringae_pv._syringae_B728a"
"VFG007838(gi:118617596)"	"ppsB"	"phenolpthiocerol_synthesis_type-I_polyketide_synthase_PpsB_"	"PDIM_(phthiocerol_dimycocerosate"	"ND"
"VFG045824"	"EC958_4614"	"serine_protease_autotransporter_protein_"	"EspC,_SPATE_(CVF742)_"	"Escherichia_coli_O25b:H4-ST131"
"VFG048847"	"etk"	"tyrosine-protein_kinase_Etk_"	"Capsule_(CVF854)_"	"Klebsiella_pneumoniae_342"
"VFG016052(gi:26990915)"	"pvdH"	"diaminobutyrate--2-oxoglutarate_aminotransferase_"	"Pyoverdine_(CVF551)_"	"Pseudomonas_putida_KT2440"
"VFG042493(gi:2808450)"	"cshA"	"cshA_minor_pilin_"	"CS13_(PCFO9)(AI027)_"	"Escherichia_coli_str._PE"
"VFG012111(gi:15895380)"	"fbp"	"Fibronectin-binding_protein_"	"Fibronectin-binding_protein_(CVF404)_"	"Clostridium_acetobutylicum_ATCC_824"
"VFG030571(gi:126436571)"	"sugA"	"binding-protein-dependent_transport_system_inner_membrane_protein_"	"Trehalose-recycling_ABC_transporter_(CVF651)_"	"Mycobacterium_sp._JLS"
"VFG004643(gi:49483044)"	"clfA"	"clumping_factor_"	"Clumping_factor_A_(CVF098)_"	"Staphylococcus_aureus_subsp._aureus_MRSA252"
"VFG015207(gi:66044457)"	"hrcT"	"type_III_secretion_protein_HrcT_"	"P._syringae_TTSS_(CVF532)_"	"Pseudomonas_syringae_pv._syringae_B728a"
"VFG012870(gi:30062708)"	"ipaH"	"invasion_plasmid_antigen_fragment_"	"Mxi-Spa_TTSS_effectors_controlled_by_MxiE_(CVF465)_"	"Shigella_flexneri_2a_str._2457T"
"VFG018083(gi:157415385)"	"pglA"	"general_glycosylation_pathway_protein_"	"N-linked_protein_glycosylation_(CVF400)_"	"Campylobacter_jejuni_subsp._jejuni_81116"
"VFG038269(gb|YP_008041713)"	"exeC"	"general_secretion_pathway_protein_C_"	"Exe_T2SS_(VF0478)_"	"Aeromonas_hydrophila_ML09-119"
"VFG000431(gb|NP_458740)"	"tviB"	"Vi_polysaccharide_biosynthesis_protein,_UDP-glucose/GDP-mannose_dehydrogenase_TviB_"	"Vi_antigen_(VF0101)_"	"Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18"
"VFG030037(gi:433645071)"	"pe"	"PE-PPE_domain-containing_protein_"	"GPL_locus_(CVF650)_"	"Mycobacterium_smegmatis_JS623"
"VFG010399(gi:118468094)"	"mce8C"	"virulence_factor_Mce_family_protein_"	"Mce8_(CVF343)_"	"Mycobacterium_smegmatis_str._MC2_155"
"VFG014028(gi:146284264)"	"pilH"	"type_IV_pilus_response_regulator_PilH_"	"Type_IV_pili_twitching_motility_related_proteins_(CVF519)_"	"Pseudomonas_stutzeri_A1501"
"VFG033153(gi:218701692)"	"papI"	"pap_operon_regulatory_protein_PapI_"	"P_fimbriae_(CVF425)_"	"Escherichia_coli_O7:K1_str._IAI39"
"VFG015203(gi:28868600)"	"hrcU"	"type_III_secretion_protein_HrcU_"	"T3SS_(SS003)_"	"Pseudomonas_syringae_pv._tomato_str._DC3000"
"VFG025498(gi:83719073)"	"fliI"	"flagellum-specific_ATP_synthase_FliI_"	"Flagella_(CVF643)_"	"Burkholderia_thailandensis_E264"
"VFG046459"	"Fphi_1039"	"elongation_factor_Tu_"	"EF-Tu_(CVF827)_"	"Francisella_philomiragia_subsp._philomiragia_ATCC_25017"
"VFG038767(gb|YP_857336)"	"flgL"	"flagellar_hook-associated_protein_FlgL_"	"ND_(AI144)_"	"Aeromonas_hydrophila_subsp._hydrophila_ATCC_7966"
"VFG044243(gi:145300216)"	"ASA_3329"	"iron-regulated_protein_"	"direct_heme_uptake_system_(IA062)_"	"Aeromonas_salmonicida_subsp._salmonicida_A449"
"VFG017251(gi:151220308)"	"capB"	"capsular_polysaccharide_synthesis_enzyme_CapB_"	"Capsule_(CVF110)_"	"Staphylococcus_aureus_subsp._aureus_str._Newman"
"VFG010273(gi:120406146)"	"mce4E"	"virulence_factor_Mce_family_protein_"	"Mce4_(CVF339)_"	"Mycobacterium_vanbaalenii_PYR-1"
"VFG005202(gb|NP_269969)"	"fbaA"	"protein_F2_like_fibronectin-binding_protein__"	"Fibronectin-binding_proteins_(CVF113)_"	"Streptococcus_pyogenes_M1_GAS"
"VFG014938(gi:26988162)"	"mucB"	"sigma_factor_algU_regulatory_protein_AlgN_"	"Alginate_regulation_(CVF523)_"	"Pseudomonas_putida_KT2440"
"VFG048866"	"A225_3885"	"hypothetical_protein_"	"Capsule_(CVF854)_"	"Klebsiella_oxytoca_E718"
"VFG009229(gi:145223994)"	"secA2"	"SecA_DEAD_domain_protein_"	"Accessory_secretion_factor_(CVF299)_"	"Mycobacterium_gilvum_PYR-GCK"
"VFG003377(gi:51594685)"	"YPTB0330"	"putative_type_III_secretion_apparatus_protein_EscU/SsaU/YscU_"	"TTSS_(chromosomally_encoded)"	"ND"
"VFG023130(gi:169628788)"	"mce6D"	"putative_Mce_family_protein_"	"Mce6_(CVF341)_"	"Mycobacterium_abscessus_ATCC_19977"
"VFG000094(gb|NP_230479)"	"tcpC"	"toxin-coregulated_pilus_biosynthesis_outer_membrane_protein_TcpC_"	"TCP_(VF0126)_"	"Vibrio_cholerae_O1_biovar_El_Tor_str._N16961"
"VFG014336(gi:26991064)"	"fliS"	"flagellar_protein_FliS_"	"Flagella_(CVF521)_"	"Pseudomonas_putida_KT2440"
"VFG038172(gi:523529236)"	"BJAB0715_00115"	"Phosphomannomutase_"	"Capsule_(CVF775)_"	"Acinetobacter_baumannii_BJAB0715"
"VFG016136(gi:70730852)"	"pchC"	"pyochelin_biosynthetic_protein_PchC_"	"Pyochelin_(CVF553)_"	"Pseudomonas_fluorescens_Pf-5"
"VFG044326(gb|YP_002920246)"	"ybtP"	"yersiniabactin_ABC_transporter_ATP-binding/permease_protein_YbtP_"	"Ybt_(VF0564)_"	"Klebsiella_pneumoniae_subsp._pneumoniae_NTUH-K2044"
"VFG004674(gi:82751393)"	"splE"	"serine_proteinase_"	"Serine_protease_(CVF095)_"	"Staphylococcus_aureus_RF122"
"VFG020082(gi:218891622)"	"fpvA"	"FpvAIII_"	"Pyoverdine_receptors_(CVF552)_"	"Pseudomonas_aeruginosa_LESB58"
"VFG033993(gi:387615312)"	"iucB"	"aerobactin_siderophore_biosynthesis_protein_IucB_"	"Aerobactin_siderophore_(CVF457)_"	"Escherichia_coli_O83:H1_str._NRG_857C"
"VFG041307(gb|YP_095981)"	"pieC/lirE"	"Dot/Icm_type_IV_secretion_system_effector_PieC/LirE_"	"Dot/Icm_(SS047)_"	"Legionella_pneumophila_subsp._pneumophila_str._Philadelphia_1"
"VFG000477(gi:16766230)"	"rpoS"	"sigma_S_(sigma_38"	"ND"	"ND"
"VFG042505(gi:7239822)"	"nfaA"	"nonfimbrial_adhesin_I_"	"Nfa-I_fimbriae_(AI029)_"	"Escherichia_coli_O83:K1:H4_str._827"
"VFG004966(gi:15927400)"	"yent2"	"enterotoxin_YENT2_"	"Enterotoxin_Yent2_(CVF074)_"	"Staphylococcus_aureus_subsp._aureus_N315"
"VFG042568(gi:26247120)"	"focY"	"hypothetical_protein_"	"F1C_pili_(AI043)_"	"Escherichia_coli_CFT073"
"VFG037272(gi:213158094)"	"barA"	"ABC_transporter_"	"Acinetobactin_(CVF768)_"	"Acinetobacter_baumannii_AB0057"
"VFG012627(gi:15804050)"	"chuU"	"putative_permease_of_iron_compound_ABC_transport_system_"	"Chu_(VF0234)_"	"Escherichia_coli_O157:H7_str._EDL933"
"VFG038806(gi:330830305)"	"flgC"	"flagellar_basal-body_rod_protein_FlgC_"	"Polar_flagella_(CVF786)_"	"Aeromonas_veronii_B565"
"VFG016163(gi:152984326)"	"acsD"	"iron_transporter_"	"Achromobactin_biosynthesis_and_transport_(CVF555)_"	"Pseudomonas_aeruginosa_PA7"
"VFG049253"	"A225_4098"	"hypothetical_protein_"	"T6SS-III_(CVF862)_"	"Klebsiella_oxytoca_E718"
